entry_number,year_date,dc_title,authid,authname,surname,given_name,initials,afid,affilname,affiliation_city,affiliation_country
134,2019,short-term variability in coastal community and ecosystem dynamics in northern lake michigan,57210145334,rose v,Rose,Victoria A.,V.A.,60009841,Central Michigan University,Mount Pleasant,United States
134,2019,short-term variability in coastal community and ecosystem dynamics in northern lake michigan,57210146797,scheunemann a,Scheunemann,Anna E.,A.E.,60009841,Central Michigan University,Mount Pleasant,United States
134,2019,short-term variability in coastal community and ecosystem dynamics in northern lake michigan,57210143412,webster r,Webster,Randall,R.,60009841,Central Michigan University,Mount Pleasant,United States
134,2019,short-term variability in coastal community and ecosystem dynamics in northern lake michigan,57210147808,weldon c,Weldon,Courtney R.,C.R.,60009841,Central Michigan University,Mount Pleasant,United States
134,2019,short-term variability in coastal community and ecosystem dynamics in northern lake michigan,57210155552,yan j,Yan,Jilin,J.,60009841,Central Michigan University,Mount Pleasant,United States
134,2019,short-term variability in coastal community and ecosystem dynamics in northern lake michigan,6603807472,uzarski d,Uzarski,Donald G.,D.G.,60009841,Central Michigan University,Mount Pleasant,United States
135,2019,serial introductions modify a trophic cascade and partially mitigate changes in lake ecosystem structure,55574204234,richardson d,Richardson,David C.,D.C.,60011073,SUNY New Paltz,New Paltz,United States
135,2019,serial introductions modify a trophic cascade and partially mitigate changes in lake ecosystem structure,57210152213,bruno e,Bruno,Emma C.,E.C.,60011073,SUNY New Paltz,New Paltz,United States
135,2019,serial introductions modify a trophic cascade and partially mitigate changes in lake ecosystem structure,57210154690,edwards h,Edwards,Hailee L.,H.L.,60011073,SUNY New Paltz,New Paltz,United States
135,2019,serial introductions modify a trophic cascade and partially mitigate changes in lake ecosystem structure,57210152746,green d,Green,Dejea M.,D.M.,60011073,SUNY New Paltz,New Paltz,United States
135,2019,serial introductions modify a trophic cascade and partially mitigate changes in lake ecosystem structure,57210158395,hollander a,Hollander,Anthony J.,A.J.,60011073,SUNY New Paltz,New Paltz,United States
135,2019,serial introductions modify a trophic cascade and partially mitigate changes in lake ecosystem structure,57210155869,mcfadden s,McFadden,Sawyer R.,S.R.,60011073,SUNY New Paltz,New Paltz,United States
135,2019,serial introductions modify a trophic cascade and partially mitigate changes in lake ecosystem structure,57210153168,reid k,Reid,Kayla A.,K.A.,60011073,SUNY New Paltz,New Paltz,United States
135,2019,serial introductions modify a trophic cascade and partially mitigate changes in lake ecosystem structure,57210159940,wander h,Wander,Heather L.,H.L.,60011073,SUNY New Paltz,New Paltz,United States
136,2019,coupled benthic-hyporheic responses of macroinvertebrates to surface water pollution in a gravel-bed river,6603360274,negishi j,Negishi,Junjiro N.,J.N.,60014652,Hokkaido University,Sapporo,Japan
136,2019,coupled benthic-hyporheic responses of macroinvertebrates to surface water pollution in a gravel-bed river,57210144797,hibino a,Hibino,Aiko,A.,60014652,Hokkaido University,Sapporo,Japan
136,2019,coupled benthic-hyporheic responses of macroinvertebrates to surface water pollution in a gravel-bed river,57192907714,miura k,Miura,Kazuki,K.,60014652,Hokkaido University,Sapporo,Japan
136,2019,coupled benthic-hyporheic responses of macroinvertebrates to surface water pollution in a gravel-bed river,35772266500,kawanishi r,Kawanishi,Ryota,R.,60014652,Hokkaido University,Sapporo,Japan
136,2019,coupled benthic-hyporheic responses of macroinvertebrates to surface water pollution in a gravel-bed river,56924294900,watanabe n,Watanabe,Nozomi,N.,60014652,Hokkaido University,Sapporo,Japan
136,2019,coupled benthic-hyporheic responses of macroinvertebrates to surface water pollution in a gravel-bed river,7201963082,toyoda k,Toyoda,Kazuhiro,K.,60014652,Hokkaido University,Sapporo,Japan
137,2019,"contributions of autochthonous, allochthonous, and aged carbon and organic matter to macroinvertebrate nutrition in the susquehanna river basin",57194618545,bellamy a,Bellamy,Amber R.,A.R.,60003500,The Ohio State University,Columbus,United States
137,2019,"contributions of autochthonous, allochthonous, and aged carbon and organic matter to macroinvertebrate nutrition in the susquehanna river basin",7402814812,bauer j,Bauer,James E.,J.E.,60003500,The Ohio State University,Columbus,United States
137,2019,"contributions of autochthonous, allochthonous, and aged carbon and organic matter to macroinvertebrate nutrition in the susquehanna river basin",6603275172,grottoli a,Grottoli,Andrea G.,A.G.,60003500,The Ohio State University,Columbus,United States
138,2019,seasonal flooding affects habitat and landscape dynamics of a gravel-bed river floodplain,57209509526,driscoll k,Driscoll,Katelyn P.,K.P.,60022355,University of Montana,Missoula,United States
138,2019,seasonal flooding affects habitat and landscape dynamics of a gravel-bed river floodplain,6508097287,richard hauer f,Richard Hauer,F.,F.,60022355,University of Montana,Missoula,United States
139,2019,seasonal change in environmental dna concentration of a submerged aquatic plant species,55192782700,matsuhashi s,Matsuhashi,Saeko,S.,60014250,"National Agriculture and Food Research Organization, NARO",Tsukuba,Japan
139,2019,seasonal change in environmental dna concentration of a submerged aquatic plant species,25639837900,minamoto t,Minamoto,Toshifumi,T.,60011418,Kobe University,Kobe,Japan
139,2019,seasonal change in environmental dna concentration of a submerged aquatic plant species,55769844200,doi h,Doi,Hideyuki,H.,60023499,University of Hyogo,Kobe,Japan
140,2019,selecting comparator sites for ecological causal assessment based on expected biological similarity,42161362800,gillett d,Gillett,David J.,D.J.,60008854,Southern California Coastal Water Research Project,Costa Mesa,United States
140,2019,selecting comparator sites for ecological causal assessment based on expected biological similarity,12789658300,mazor r,Mazor,Raphael D.,R.D.,60008854,Southern California Coastal Water Research Project,Costa Mesa,United States
140,2019,selecting comparator sites for ecological causal assessment based on expected biological similarity,7201797115,norton s,Norton,Susan B.,S.B.,60021439,United States Environmental Protection Agency,"Washington, D.C.",United States
141,2019,agricultural land use alters temporal dynamics and the composition of organic matter in temperate headwater streams,55763003400,wild r,Wild,Romy,R.,60018229,Helmholtz Zentrum für Umweltforschung,Leipzig,Germany
141,2019,agricultural land use alters temporal dynamics and the composition of organic matter in temperate headwater streams,55976296800,gücker b,Gücker,Björn,B.,60028351,Universidade Federal de Sao Joao del-Rei,Sao Joao del Rei,Brazil
141,2019,agricultural land use alters temporal dynamics and the composition of organic matter in temperate headwater streams,13908198600,brauns m,Brauns,Mario,M.,60018229,Helmholtz Zentrum für Umweltforschung,Leipzig,Germany
142,2019,associations between substrate and hydraulic variables and the distributions of a sculptured and an unsculptured unionid mussel,55062226800,goodding d,Goodding,Daniel D.,D.D.,60022144,University of Central Florida,Orlando,United States
142,2019,associations between substrate and hydraulic variables and the distributions of a sculptured and an unsculptured unionid mussel,7410005296,williams m,Williams,Marsha G.,M.G.,60019188,University of Texas at Tyler,Tyler,United States
142,2019,associations between substrate and hydraulic variables and the distributions of a sculptured and an unsculptured unionid mussel,56982439500,ford d,Ford,David F.,D.F.,60019188,University of Texas at Tyler,Tyler,United States
142,2019,associations between substrate and hydraulic variables and the distributions of a sculptured and an unsculptured unionid mussel,55462626100,williams l,Williams,Lance R.,L.R.,60019188,University of Texas at Tyler,Tyler,United States
142,2019,associations between substrate and hydraulic variables and the distributions of a sculptured and an unsculptured unionid mussel,7102556187,ford n,Ford,Neil B.,N.B.,60019188,University of Texas at Tyler,Tyler,United States
143,2019,high phosphorus content in leachates of the austral beech nothofagus pumilio stimulates bacterioplankton c-consumption,57193897879,navarro m,Navarro,Marcela Bastidas,M.B.,60092023,"Instituto de Investigaciones en Biodiversidad y Medioambiente, Bariloche",Bariloche,Argentina
143,2019,high phosphorus content in leachates of the austral beech nothofagus pumilio stimulates bacterioplankton c-consumption,55666384300,villanueva v,Villanueva,Verónica Díaz,V.D.,60092023,"Instituto de Investigaciones en Biodiversidad y Medioambiente, Bariloche",Bariloche,Argentina
143,2019,high phosphorus content in leachates of the austral beech nothofagus pumilio stimulates bacterioplankton c-consumption,6603739493,modenutti b,Modenutti,Beatriz,B.,60092023,"Instituto de Investigaciones en Biodiversidad y Medioambiente, Bariloche",Bariloche,Argentina
144,2019,field application of an edna assay for the threatened white-clawed crayfish austropotamobius pallipes,57203090426,atkinson s,Atkinson,Siobhán,S.,60005141,University College Dublin,Dublin,Ireland
144,2019,field application of an edna assay for the threatened white-clawed crayfish austropotamobius pallipes,55427805100,carlsson j,Carlsson,Jeanette E.L.,J.E.L.,60005141,University College Dublin,Dublin,Ireland
144,2019,field application of an edna assay for the threatened white-clawed crayfish austropotamobius pallipes,57203090278,ball b,Ball,Bernard,B.,60005141,University College Dublin,Dublin,Ireland
144,2019,field application of an edna assay for the threatened white-clawed crayfish austropotamobius pallipes,6603178397,kelly-quinn m,Kelly-Quinn,Mary,M.,60005141,University College Dublin,Dublin,Ireland
144,2019,field application of an edna assay for the threatened white-clawed crayfish austropotamobius pallipes,57193328479,carlsson j,Carlsson,Jens,J.,60005141,University College Dublin,Dublin,Ireland
145,2019,hotspots and bright spots in functional and taxonomic fish diversity,27967855800,kovalenko k,Kovalenko,Katya E.,K.E.,60009875,University of Minnesota Duluth,Duluth,United States
145,2019,hotspots and bright spots in functional and taxonomic fish diversity,7404799088,johnson l,Johnson,Lucinda B.,L.B.,60009875,University of Minnesota Duluth,Duluth,United States
145,2019,hotspots and bright spots in functional and taxonomic fish diversity,6701381463,brady v,Brady,Valerie J.,V.J.,60009875,University of Minnesota Duluth,Duluth,United States
145,2019,hotspots and bright spots in functional and taxonomic fish diversity,7004373125,ciborowski j,Ciborowski,Jan J.H.,J.J.H.,60012468,University of Windsor,Windsor,Canada
145,2019,hotspots and bright spots in functional and taxonomic fish diversity,57198516693,cooper m,Cooper,Matthew J.,M.J.,60000827,"Northland College, Ashland",Ashland City,United States
145,2019,hotspots and bright spots in functional and taxonomic fish diversity,7801475467,gathman j,Gathman,Joseph P.,J.P.,60031316,University of Wisconsin-River Falls,River Falls,United States
145,2019,hotspots and bright spots in functional and taxonomic fish diversity,7004993649,lamberti g,Lamberti,Gary A.,G.A.,60021508,University of Notre Dame,Notre Dame,United States
145,2019,hotspots and bright spots in functional and taxonomic fish diversity,6603463253,moerke a,Moerke,Ashley H.,A.H.,60030819,Lake Superior State University,Sault Ste Marie,United States
145,2019,hotspots and bright spots in functional and taxonomic fish diversity,6602219736,ruetz c,Ruetz,Carl R.,C.R.,60025659,Grand Valley State University,Allendale,United States
145,2019,hotspots and bright spots in functional and taxonomic fish diversity,6603807472,uzarski d,Uzarski,Donald G.,D.G.,60009841,Central Michigan University,Mount Pleasant,United States
147,2019,spatial variation in aquatic food webs in the amazon river floodplain,36949465800,arantes c,Arantes,Caroline C.,C.C.,60020547,Texas A&amp;M University,College Station,United States
147,2019,spatial variation in aquatic food webs in the amazon river floodplain,7003495043,winemiller k,Winemiller,Kirk O.,K.O.,60020547,Texas A&amp;M University,College Station,United States
147,2019,spatial variation in aquatic food webs in the amazon river floodplain,6701732228,petrere m,Petrere,Miguel,M.,60001890,Universidade Federal do Pará,Belem,Brazil
147,2019,spatial variation in aquatic food webs in the amazon river floodplain,55126659400,freitas c,Freitas,Carlos E.C.,C.E.C.,60000943,Universidade Federal do Amazonas,Manaus,Brazil
148,2019,"the larva and pupa of apatania stylata stylata navás 1916, with an updated key to larvae of the european species of genus apatania kolenati 1848 (apataniidae, trichoptera)",55911429500,waringer j,Waringer,Johann,J.,60025988,Universität Wien,Vienna,Austria
148,2019,"the larva and pupa of apatania stylata stylata navás 1916, with an updated key to larvae of the european species of genus apatania kolenati 1848 (apataniidae, trichoptera)",7202423605,graf w,Graf,Wolfram,W.,60024895,Universitat fur Bodenkultur Wien,Vienna,Austria
149,2019,disentangling the effects of dispersal mode on the assembly of macroinvertebrate assemblages in a heterogeneous highland region,57201214627,li z,Li,Zhengfei,Z.,60021836,"Institute of Hydrobiology, Chinese Academy of Sciences",Wuhan,China
149,2019,disentangling the effects of dispersal mode on the assembly of macroinvertebrate assemblages in a heterogeneous highland region,57200018352,wang j,Wang,Jun,J.,60021836,"Institute of Hydrobiology, Chinese Academy of Sciences",Wuhan,China
149,2019,disentangling the effects of dispersal mode on the assembly of macroinvertebrate assemblages in a heterogeneous highland region,57045100700,meng x,Meng,Xingliang,X.,60021836,"Institute of Hydrobiology, Chinese Academy of Sciences",Wuhan,China
149,2019,disentangling the effects of dispersal mode on the assembly of macroinvertebrate assemblages in a heterogeneous highland region,7005906596,heino j,Heino,Jani,J.,60025408,Finnish Environment Institute,Helsinki,Finland
149,2019,disentangling the effects of dispersal mode on the assembly of macroinvertebrate assemblages in a heterogeneous highland region,56486550700,sun m,Sun,Meiqin,M.,60021836,"Institute of Hydrobiology, Chinese Academy of Sciences",Wuhan,China
149,2019,disentangling the effects of dispersal mode on the assembly of macroinvertebrate assemblages in a heterogeneous highland region,57220545311,jiang x,Jiang,Xiaoming,X.,60021836,"Institute of Hydrobiology, Chinese Academy of Sciences",Wuhan,China
149,2019,disentangling the effects of dispersal mode on the assembly of macroinvertebrate assemblages in a heterogeneous highland region,7402267529,xie z,Xie,Zhicai,Z.,60021836,"Institute of Hydrobiology, Chinese Academy of Sciences",Wuhan,China
150,2019,association between unconventional oil and gas (uog) development and water quality in small streams overlying the marcellus shale,36106815400,knee k,Knee,Karen L.,K.L.,60020420,American University,"Washington, D.C.",United States
150,2019,association between unconventional oil and gas (uog) development and water quality in small streams overlying the marcellus shale,57207618900,masker a,Masker,Alexandra E.,A.E.,60020420,American University,"Washington, D.C.",United States
151,2019,"the outcome of an exclusion experiment depends on the method: shrimps, shredders and leaf breakdown in a tropical stream",6701662193,moulton t,Moulton,Timothy P.,T.P.,60005499,Universidade do Estado do Rio de Janeiro,Rio de Janeiro,Brazil
151,2019,"the outcome of an exclusion experiment depends on the method: shrimps, shredders and leaf breakdown in a tropical stream",57195527136,andrade c,Andrade,Claudia M.,C.M.,60005499,Universidade do Estado do Rio de Janeiro,Rio de Janeiro,Brazil
151,2019,"the outcome of an exclusion experiment depends on the method: shrimps, shredders and leaf breakdown in a tropical stream",56380440600,neres-lima v,Neres-Lima,Vinicius,V.,60005499,Universidade do Estado do Rio de Janeiro,Rio de Janeiro,Brazil
152,2019,southward invasion of craspedacusta sowerbii across mesotrophic lakes in chile: geographical distribution and genetic diversity of the medusa phase,57196992730,fuentes r,Fuentes,Romina,R.,60003634,Universidad Austral de Chile,Valdivia,Chile
152,2019,southward invasion of craspedacusta sowerbii across mesotrophic lakes in chile: geographical distribution and genetic diversity of the medusa phase,7004368563,cárdenas l,Cárdenas,Leyla,L.,60003634,Universidad Austral de Chile,Valdivia,Chile
152,2019,southward invasion of craspedacusta sowerbii across mesotrophic lakes in chile: geographical distribution and genetic diversity of the medusa phase,6508172558,abarzua a,Abarzua,Ana,A.,60003634,Universidad Austral de Chile,Valdivia,Chile
152,2019,southward invasion of craspedacusta sowerbii across mesotrophic lakes in chile: geographical distribution and genetic diversity of the medusa phase,14062935100,caputo l,Caputo,Luciano,L.,60003634,Universidad Austral de Chile,Valdivia,Chile
153,2019,year-round measurements reveal seasonal drivers of nutrient uptake in a snowmelt-driven headwater stream,55846346700,coble a,Coble,Ashley A.,A.A.,60016536,Michigan Technological University,Houghton,United States
153,2019,year-round measurements reveal seasonal drivers of nutrient uptake in a snowmelt-driven headwater stream,14829336300,marcarelli a,Marcarelli,Amy M.,A.M.,60016536,Michigan Technological University,Houghton,United States
153,2019,year-round measurements reveal seasonal drivers of nutrient uptake in a snowmelt-driven headwater stream,10739200000,kane e,Kane,Evan S.,E.S.,60016536,Michigan Technological University,Houghton,United States
154,2019,"watershed hydrology and salinity, but not nutrient chemistry, are associated with arid-land stream microbial diversity",8924331400,zeglin l,Zeglin,Lydia H.,L.H.,60000689,Kansas State University,Manhattan,United States
154,2019,"watershed hydrology and salinity, but not nutrient chemistry, are associated with arid-land stream microbial diversity",8924331100,crenshaw c,Crenshaw,Chelsea L.,C.L.,60033021,The University of New Mexico,Albuquerque,United States
154,2019,"watershed hydrology and salinity, but not nutrient chemistry, are associated with arid-land stream microbial diversity",7005573738,dahm c,Dahm,Clifford N.,C.N.,60033021,The University of New Mexico,Albuquerque,United States
154,2019,"watershed hydrology and salinity, but not nutrient chemistry, are associated with arid-land stream microbial diversity",6506136825,sheibley r,Sheibley,Richard W.,R.W.,60011347,United States Geological Survey,Reston,United States
154,2019,"watershed hydrology and salinity, but not nutrient chemistry, are associated with arid-land stream microbial diversity",14042590300,takacs-vesbach c,Takacs-Vesbach,Cristina D.,C.D.,60033021,The University of New Mexico,Albuquerque,United States
155,2019,"tadpole species have variable roles in litter breakdown, sediment removal, and nutrient cycling in a tropical stream",35216048600,schmidt k,Schmidt,Katrin,K.,60019870,James Cook University,Townsville,Australia
155,2019,"tadpole species have variable roles in litter breakdown, sediment removal, and nutrient cycling in a tropical stream",7401904911,pearson r,Pearson,Richard G.,R.G.,60019870,James Cook University,Townsville,Australia
155,2019,"tadpole species have variable roles in litter breakdown, sediment removal, and nutrient cycling in a tropical stream",7005665956,alford r,Alford,Ross A.,R.A.,60019870,James Cook University,Townsville,Australia
155,2019,"tadpole species have variable roles in litter breakdown, sediment removal, and nutrient cycling in a tropical stream",14420580800,puschendorf r,Puschendorf,Robert,R.,60019870,James Cook University,Townsville,Australia
156,2019,dissimilar effects of low-head dams on the genetic structure of riverine fishes,57194469312,smith s,Smith,Shannon C.F.,S.C.F.,60012799,Eastern Illinois University,Charleston,United States
156,2019,dissimilar effects of low-head dams on the genetic structure of riverine fishes,7101869201,colombo r,Colombo,Robert E.,R.E.,60012799,Eastern Illinois University,Charleston,United States
156,2019,dissimilar effects of low-head dams on the genetic structure of riverine fishes,8625585700,keeney d,Keeney,Devon B.,D.B.,60010841,Le Moyne College,Syracuse,United States
157,2019,correspondence between stream benthic macroinvertebrate assemblages and ecoregions in northwestern argentina,57199281869,pero e,Pero,Edgardo J.I.,E.J.I.,60003933,Universidad Nacional de Tucuman (UNT),San Miguel de Tucuman,Argentina
157,2019,correspondence between stream benthic macroinvertebrate assemblages and ecoregions in northwestern argentina,57203637010,hankel g,Hankel,Guillermo E.,G.E.,60003933,Universidad Nacional de Tucuman (UNT),San Miguel de Tucuman,Argentina
157,2019,correspondence between stream benthic macroinvertebrate assemblages and ecoregions in northwestern argentina,6603255933,molineri c,Molineri,Carlos,C.,60003933,Universidad Nacional de Tucuman (UNT),San Miguel de Tucuman,Argentina
157,2019,correspondence between stream benthic macroinvertebrate assemblages and ecoregions in northwestern argentina,7103240381,domínguez e,Domínguez,Eduardo,E.,60003933,Universidad Nacional de Tucuman (UNT),San Miguel de Tucuman,Argentina
158,2019,connectivity of two species with contrasting dispersal abilities: a test of the isolated tributary hypothesis,7005956692,rader r,Rader,Russell B.,R.B.,60006832,Brigham Young University,Provo,United States
158,2019,connectivity of two species with contrasting dispersal abilities: a test of the isolated tributary hypothesis,6506395016,unmack p,Unmack,Peter J.,P.J.,60006832,Brigham Young University,Provo,United States
158,2019,connectivity of two species with contrasting dispersal abilities: a test of the isolated tributary hypothesis,7006001488,christensen w,Christensen,William F.,W.F.,60006832,Brigham Young University,Provo,United States
158,2019,connectivity of two species with contrasting dispersal abilities: a test of the isolated tributary hypothesis,57206274332,jiang x,Jiang,Xiaoben,X.,60006832,Brigham Young University,Provo,United States
159,2019,spatial distributions of common and rare species in a widespread group of stream insects,7004584490,mccreadie j,McCreadie,John W.,J.W.,60000705,University of South Alabama,Mobile,United States
159,2019,spatial distributions of common and rare species in a widespread group of stream insects,35568046800,adler p,Adler,Peter H.,P.H.,60026610,Clemson University,Clemson,United States
160,2019,enhancing bioassessment approaches: development of a river services assessment framework,12809741500,yates a,Yates,Adam G.,A.G.,60084724,Canadian Rivers Institute,Fredericton,Canada
160,2019,enhancing bioassessment approaches: development of a river services assessment framework,54790542700,culp j,Culp,Joseph M.,J.M.,60084724,Canadian Rivers Institute,Fredericton,Canada
160,2019,enhancing bioassessment approaches: development of a river services assessment framework,26664371400,armanini d,Armanini,David G.,D.G.,60084724,Canadian Rivers Institute,Fredericton,Canada
160,2019,enhancing bioassessment approaches: development of a river services assessment framework,7202707979,baird d,Baird,Donald J.,D.J.,60084724,Canadian Rivers Institute,Fredericton,Canada
160,2019,enhancing bioassessment approaches: development of a river services assessment framework,6603449464,jardine t,Jardine,Timothy D.,T.D.,60084724,Canadian Rivers Institute,Fredericton,Canada
160,2019,enhancing bioassessment approaches: development of a river services assessment framework,36245395600,orlofske j,Orlofske,Jessica M.,J.M.,60084724,Canadian Rivers Institute,Fredericton,Canada
161,2019,forest canopy affects stream macroinvertebrate assemblage structure but not trophic stability,57193928652,canning a,Canning,Adam D.,A.D.,60008221,Massey University,Palmerston North,New Zealand
161,2019,forest canopy affects stream macroinvertebrate assemblage structure but not trophic stability,7003551375,death r,Death,Russell G.,R.G.,60008221,Massey University,Palmerston North,New Zealand
161,2019,forest canopy affects stream macroinvertebrate assemblage structure but not trophic stability,57200101453,gardner e,Gardner,Erna M.,E.M.,60020585,University of Canterbury,Christchurch,New Zealand
162,2019,season and presence of gizzard shad influence horizontal spatial distribution of zooplankton in reservoirs of the midwestern united states,55576155500,detmer t,Detmer,Thomas M.,T.M.,60007313,Illinois Natural History Survey,Champaign,United States
162,2019,season and presence of gizzard shad influence horizontal spatial distribution of zooplankton in reservoirs of the midwestern united states,16233176000,diana m,Diana,Matthew J.,M.J.,60007313,Illinois Natural History Survey,Champaign,United States
162,2019,season and presence of gizzard shad influence horizontal spatial distribution of zooplankton in reservoirs of the midwestern united states,7102119193,wahl d,Wahl,David H.,D.H.,60007313,Illinois Natural History Survey,Champaign,United States
163,2019,"large-scale protection and restoration programs aimed at protecting stream ecosystem integrity: the role of science-based goal-setting, monitoring, and data management",35559146600,kroll s,Kroll,Stefanie A.,S.A.,60010079,Academy of Natural Sciences Philadelphia,Philadelphia,United States
163,2019,"large-scale protection and restoration programs aimed at protecting stream ecosystem integrity: the role of science-based goal-setting, monitoring, and data management",7102348002,horwitz r,Horwitz,Richard J.,R.J.,60010079,Academy of Natural Sciences Philadelphia,Philadelphia,United States
163,2019,"large-scale protection and restoration programs aimed at protecting stream ecosystem integrity: the role of science-based goal-setting, monitoring, and data management",57193232086,keller d,Keller,David H.,D.H.,60010079,Academy of Natural Sciences Philadelphia,Philadelphia,United States
163,2019,"large-scale protection and restoration programs aimed at protecting stream ecosystem integrity: the role of science-based goal-setting, monitoring, and data management",7006491614,sweeney b,Sweeney,Bern W.,B.W.,60032790,Stroud Water Research Center,Avondale,United States
163,2019,"large-scale protection and restoration programs aimed at protecting stream ecosystem integrity: the role of science-based goal-setting, monitoring, and data management",7404116509,jackson j,Jackson,John K.,J.K.,60032790,Stroud Water Research Center,Avondale,United States
163,2019,"large-scale protection and restoration programs aimed at protecting stream ecosystem integrity: the role of science-based goal-setting, monitoring, and data management",57206271157,perez l,Perez,Lin B.,L.B.,60010079,Academy of Natural Sciences Philadelphia,Philadelphia,United States
164,2019,intraspecific trait variation in urban stream ecosystems: toward understanding the mechanisms shaping urban stream communities,55339204100,marques p,Marques,Piatã S.,P.S.,60003122,University of Victoria,Victoria,Canada
164,2019,intraspecific trait variation in urban stream ecosystems: toward understanding the mechanisms shaping urban stream communities,36704126700,manna l,Manna,Luisa R.,L.R.,60005499,Universidade do Estado do Rio de Janeiro,Rio de Janeiro,Brazil
164,2019,intraspecific trait variation in urban stream ecosystems: toward understanding the mechanisms shaping urban stream communities,7004871178,mazzoni r,Mazzoni,Rosana,R.,60005499,Universidade do Estado do Rio de Janeiro,Rio de Janeiro,Brazil
164,2019,intraspecific trait variation in urban stream ecosystems: toward understanding the mechanisms shaping urban stream communities,14049970800,el-sabaawi r,El-Sabaawi,Rana,R.,60003122,University of Victoria,Victoria,Canada
165,2019,thermal habitat of brook trout in lakes of different size,57205298446,smith d,Smith,Darren A.,D.A.,60031024,Trent University,Peterborough,Canada
165,2019,thermal habitat of brook trout in lakes of different size,7404288035,jackson d,Jackson,Donald A.,D.A.,60016849,University of Toronto,Toronto,Canada
165,2019,thermal habitat of brook trout in lakes of different size,7005865802,ridgway m,Ridgway,Mark S.,M.S.,60031024,Trent University,Peterborough,Canada
166,2019,"to model or measure: estimating gas exchange to measure metabolism in shallow, low-gradient stream habitats",56114967600,nifong r,Nifong,Rachel L.,R.L.,60030965,USDA ARS National Sedimentation Laboratory,Oxford,United States
166,2019,"to model or measure: estimating gas exchange to measure metabolism in shallow, low-gradient stream habitats",15060551700,taylor j,Taylor,Jason M.,J.M.,60030965,USDA ARS National Sedimentation Laboratory,Oxford,United States
166,2019,"to model or measure: estimating gas exchange to measure metabolism in shallow, low-gradient stream habitats",57184408000,yasarer l,Yasarer,Lindsey,L.,60030965,USDA ARS National Sedimentation Laboratory,Oxford,United States
167,2019,controls on fine particle retention in experimental streams,57190765330,shogren a,Shogren,Arial J.,A.J.,60021508,University of Notre Dame,Notre Dame,United States
167,2019,controls on fine particle retention in experimental streams,7004885835,tank j,Tank,Jennifer L.,J.L.,60021508,University of Notre Dame,Notre Dame,United States
167,2019,controls on fine particle retention in experimental streams,56458445700,hanrahan b,Hanrahan,Brittany R.,B.R.,60021508,University of Notre Dame,Notre Dame,United States
167,2019,controls on fine particle retention in experimental streams,57205870864,bolster d,Bolster,Diogo,D.,60021508,University of Notre Dame,Notre Dame,United States
168,2019,the behavioral responses of 2 appalachian crayfish to cool and warm spectrum led lights at night,57212460267,fischer j,Fischer,Justin R.,J.R.,60020441,Appalachian State University,Boone,United States
168,2019,the behavioral responses of 2 appalachian crayfish to cool and warm spectrum led lights at night,56999228900,gangloff m,Gangloff,Michael M.,M.M.,60020441,Appalachian State University,Boone,United States
168,2019,the behavioral responses of 2 appalachian crayfish to cool and warm spectrum led lights at night,6603825017,creed r,Creed,Robert P.,R.P.,60020441,Appalachian State University,Boone,United States
169,2019,comparison of the detection of 3 endangered frog species by edna and acoustic surveys across 3 seasons,54898506900,takahara t,Takahara,Teruhiko,T.,60026275,Shimane University,Matsue,Japan
169,2019,comparison of the detection of 3 endangered frog species by edna and acoustic surveys across 3 seasons,10639185600,iwai n,Iwai,Noriko,N.,60004853,Tokyo University of Agriculture and Technology,Fuchu,Japan
169,2019,comparison of the detection of 3 endangered frog species by edna and acoustic surveys across 3 seasons,56703229200,yasumiba k,Yasumiba,Kiyomi,K.,60004853,Tokyo University of Agriculture and Technology,Fuchu,Japan
169,2019,comparison of the detection of 3 endangered frog species by edna and acoustic surveys across 3 seasons,9839321100,igawa t,Igawa,Takeshi,T.,60030788,Hiroshima University,Higashihiroshima,Japan
170,2019,"first record of a skating crane fly: the unusual ecology, behavior, and morphology of phantolabis lacustris (alexander, 1938) (diptera:limoniidae) with descriptions of the immature stages",12767597000,bouchard r,Bouchard,R. William,R.W.,60005287,Minnesota Pollution Control Agency,Baxter,United States
170,2019,"first record of a skating crane fly: the unusual ecology, behavior, and morphology of phantolabis lacustris (alexander, 1938) (diptera:limoniidae) with descriptions of the immature stages",6602756354,gelhaus j,Gelhaus,Jon K.,J.K.,60010079,Academy of Natural Sciences Philadelphia,Philadelphia,United States
171,2019,anglers' riverfly monitoring initiative (armi): a uk-wide citizen science project for water quality assessment,7401651179,brooks s,Brooks,Stephen J.,S.J.,60025352,"The Natural History Museum, London",London,United Kingdom
171,2019,anglers' riverfly monitoring initiative (armi): a uk-wide citizen science project for water quality assessment,57208721001,fitch b,Fitch,Ben,B.,122528542,Riverfly Partnership,Ambleside,United Kingdom
171,2019,anglers' riverfly monitoring initiative (armi): a uk-wide citizen science project for water quality assessment,8723066600,davy-bowker j,Davy-Bowker,John,J.,60011185,Freshwater Biological Association,Ambleside,United Kingdom
171,2019,anglers' riverfly monitoring initiative (armi): a uk-wide citizen science project for water quality assessment,57208718107,codesal s,Codesal,Soraya Alvarez,S.A.,60011185,Freshwater Biological Association,Ambleside,United Kingdom
172,2019,local and landscape influences on turbidity in urban streams: a global approach using citizen scientists,56063746700,miguel-chinchilla l,Miguel-Chinchilla,Leticia,L.,60159385,Earthwatch Institute,Boston,United States
